plot number,date collected,species,sex,weight (grams),calibration issue
1,2014-01-09,dm,m,40,
1,2014-01-09,dm,f,36,
1,2014-03-13,dm,f,51,
1,2014-03-13,dm,f,44,
1,2014-03-13,ds,f,146,
2,2014-01-08,na,,
2,2014-01-08,dm,m,44,
2,2014-01-08,pf,f,7,
2,2014-01-08,dm,m,45,
2,2014-01-08,ot,,
2,2014-01-08,ds,m,157,device not calibrated correctly
2,2014-01-08,ox,,
2,2014-02-18,na,m,218,device not calibrated correctly
2,2014-02-18,pf,f,7,
2,2014-02-18,dm,m,52,
3,2014-03-11,pf,m,8,
3,2014-04-08,na,f,,
3,2014-05-06,,
3,2014-05-18,na,f,182,
3,2014-06-09,ot,f,29,
3,2014-07-08,na,f,115,
3,2014-07-08,na,m,190,
4,1978-01-08,dm,f,37,
4,1978-01-08,dm,m,,
4,1978-01-08,dm,f,48,
4,1978-01-08,do,m,52,
4,1978-01-08,ol,m,35,
2,2013-07-16,dm,f,,
7,2013-07-16,dm,m,33,
3,2013-07-16,dm,m,,
1,2013-07-16,dm,m,,
3,2013-07-18,dm,m,40,
7,2013-07-18,dm,m,48,
4,2013-07-18,dm,f,29,
6,2013-07-18,dm,f,37,
8,2013-08-19,do,f,52,
3,2013-10-17,do,f,33,
3,2013-10-17,do,f,50,
9,2013-12-10,do,f,40,
1,2013-12-10,do,m,45,
8,2013-12-11,do,f,41,
9,2013-11-12,ds,f,117,
11,2013-11-13,ds,f,126,
17,2013-11-13,ds,m,132,device not calibrated correctly
14,2013-11-13,ds,f,113,device not calibrated correctly
11,2013-11-13,ds,f,122,
4,2013-11-13,ds,f,107,
4,2013-11-13,ds,f,115,
